ID,Name,Default short code,Functional group,Sources using,Annotation count,MERMAID_BA,MERMAID_GF,Note
1250,Oculina patagonica,OcuPat,Hard coral,17,82,Oculina patagonica,,Need to add to MERMAID. WORMS link: https://www.marinespecies.org/aphia.php?p=taxdetails&id=135210
1187,Diploria labyrinthiformis,DiplLab,Hard coral,160,43889,Diploria labyrinthiformis,,
238,Hard Coral (foliose),HC_fol,Hard coral,255,28143,Hard coral,Foliose,
1645,Psammocora albopicta,PsamAlb,Hard coral,11,158,Psammocora albopicta,,Need to add to MERMAID. WORMS link: https://www.marinespecies.org/aphia.php?p=taxdetails&id=287782
237,Hard Coral (massive),HC_massive,Hard coral,354,182808,Hard coral,Massive,
1773,Dendrogyra cylindrus,DenCyl,Hard coral,103,1315,Dendrogyra cylindrus,,
792,CCA growing on rubble,CCA_Rub,Algae,74,9798,Crustose coralline algae,,
1126,Mobile fauna,Mobile,Other,43,7370,Other invertebrates,,
1376,Siderastrea radians,SidRad,Hard coral,139,1973,Siderastrea radians,,
1866,Psammocora nierstraszi,PsamNier,Hard coral,105,257,Psammocora nierstraszi,,
1371,Porites branneri,PorBran,Hard coral,89,61,Porites branneri,,
1357,Agaricia agaricites,AgAga,Hard coral,154,35292,Agaricia agaricites,,
1358,Agaricia fragilis,AgFra,Hard coral,90,190,Agaricia fragilis,,
1359,Agaricia grahamae,AgGra,Hard coral,87,804,Agaricia grahamae,,
1360,Agaricia lamarcki,AgLam,Hard coral,110,1045,Agaricia lamarcki,,
1361,Cladocora arbuscula,ClaArb,Hard coral,39,15,Cladocora arbuscula,,
1374,Pseudodiploria strigosa,PseuStrig,Hard coral,131,24752,Pseudodiploria strigosa,,
1373,Pseudodiploria clivosa,PseuCliv,Hard coral,109,2550,Pseudodiploria clivosa,,
1369,Orbicella faveolata,OrbFav,Hard coral,152,287780,Orbicella faveolata,,
1368,Orbicella annularis,OrbAnn,Hard coral,144,69437,Orbicella annularis,,
1370,Orbicella franksi,OrbFrank,Hard coral,136,47172,Orbicella franksi,,
1364,Madracis auretenra,MadAure,Hard coral,58,9258,Madracis auretenra,,
1362,Isophyllia rigida,IsophRig,Hard coral,63,78,Isophyllia rigida,,
1363,Isophyllia sinuosa,IsophSin,Hard coral,90,85,Isophyllia sinuosa,,
1366,Mycetophyllia aliciae,MycetAli,Hard coral,85,51,Mycetophyllia aliciae,,
1367,Mycetophyllia ferox,MycetFer,Hard coral,84,60,Mycetophyllia ferox,,
3099,Hard Coral (bushy),HC_bushy,Hard coral,42,26127,Hard coral,Branching,
1378,Stephanocoenia intersepta,StephInt,Hard coral,124,3347,Stephanocoenia intersepta,,
89,Porites lobata,PorLob,Hard coral,183,423219,Porites lobata,,
1389,Pterogorgia,Pterogorg,Other Invertebrates,79,3878,Pterogorgia,,
1410,Stylophora (branching),St_bra,Hard coral,77,8516,Stylophora,Branching,
1413,Porites (branching),Por_branch,Hard coral,196,38170,Porites,Branching,
